condition,mae_mass,mape_mass,prop_below_20_mass,avg_error_mass,avg_rel_error_mass,mae_fat,mape_fat,prop_below_20_fat,avg_error_fat,avg_rel_error_fat,mae_carb,mape_carb,prop_below_20_carb,avg_error_carb,avg_rel_error_carb,mae_protein,mape_protein,prop_below_20_protein,avg_error_protein,avg_rel_error_protein
overhead_rgb,243.92391304347825,146.3227423287934,0.15217391304347827,128.27173913043478,115.52563371933265,12.25547340217391,256.9507798193912,0.09782608695652174,-6.98066581521739,153.64525972588365,15.745067989130437,101.83991035029042,0.14130434782608695,-0.4946684456521737,28.2497083304561,17.42751363043478,97.13969352769078,0.06521739130434782,-8.016344,8.589284611790086
overhead_rgb_brightness_minus,262.59574468085106,188.76738762402033,0.10638297872340426,156.80851063829786,161.8046952711596,11.568955732723404,189.87317432207186,0.06382978723404255,-6.4476317752765935,98.87364579326842,15.915935423404255,103.65443054258552,0.1276595744680851,0.7772611680851068,35.45496193407981,15.57801856951064,118.87560201967426,0.1276595744680851,-6.5499347397234065,41.29758244969127
overhead_rgb_brightness_plus,269.258064516129,171.36072655484207,0.13978494623655913,160.93548387096774,144.70018526816733,11.703107806451614,191.61979827453015,0.11827956989247312,-6.750872494623653,96.4628003476513,17.35066351612903,110.93245505364185,0.08602150537634409,1.709979946236559,39.448317319796736,17.052454935483873,122.49997808481953,0.13978494623655913,-8.252603494623656,40.64916115141288
overhead_rgb_contrast_minus,257.71875,164.7449107152081,0.13541666666666666,158.23958333333334,138.1845048837011,11.8429993125,250.7717150569414,0.11458333333333333,-6.485397104166665,156.6543060754919,15.867208072916666,105.58359283861837,0.09375,-1.9160811979166663,28.498546182525835,16.08633125,117.223979890234,0.125,-6.537123520833333,38.54764699476773
overhead_rgb_contrast_plus,249.82978723404256,157.5186752201338,0.10638297872340426,128.14893617021278,124.0861151548747,11.105856989361701,189.33211036531472,0.10638297872340426,-7.676023223404256,91.98399501984149,15.983900170212765,114.47894685317894,0.0851063829787234,0.692077872340426,47.180624024298204,16.796569914893617,117.10577414637339,0.11702127659574468,-8.115414212765955,35.14701472347855
overhead_rgb_saturation_minus,251.09782608695653,145.64755512950381,0.15217391304347827,151.92391304347825,120.63124474200706,11.294355739130435,198.5968105376398,0.06521739130434782,-6.855332739130433,98.87864785838015,15.581308673913043,94.95473460098334,0.11956521739130435,-1.3924188043478265,19.05421691129226,16.187734010869566,90.43148588629141,0.08695652173913043,-8.167329119565217,5.602744132657676
overhead_rgb_saturation_plus,235.1290322580645,139.55847320321595,0.12903225806451613,126.78494623655914,111.26199662939979,11.689491375010753,185.29083040940998,0.07526881720430108,-7.6596374180215046,85.46618109679807,15.677707212903227,101.10430052950763,0.12903225806451613,0.6482606107526876,34.33498662612411,16.528689618645164,127.81947512357105,0.10752688172043011,-8.68019161864516,40.594582167033735
side_angle_rgb,292.68,173.85356802004534,0.08,230.4,154.18459920515883,12.97678434,253.0355459278382,0.08,-4.77653642,161.30612646709068,23.07418303,203.74707127687617,0.1,8.019351969999999,132.05704847266028,15.613631130000003,126.41303880756072,0.12,-6.59486631,50.28456243747934
side_angle_rgb_brightness_minus,322.765306122449,201.90687687258207,0.11224489795918367,256.8469387755102,183.59662208366564,13.467446246163265,246.33194073406887,0.04081632653061224,-3.6289722436326537,155.8305930643142,23.76515788571428,157.52579123871166,0.09183673469387756,8.79218741632653,88.17182934524381,17.421248831285716,130.9983896586045,0.12244897959183673,-2.6508748013673467,60.083384552130646
side_angle_rgb_brightness_plus,318.73737373737373,192.41192909252385,0.12121212121212122,280.5151515151515,178.5225304335323,12.608864666666665,342.74536731874554,0.08080808080808081,-5.679691414141414,245.8690412603323,22.065954121212116,138.41450967799958,0.12121212121212122,7.315893535353536,71.17986050580528,15.688277454545453,138.07607604495232,0.1717171717171717,-6.116862181818181,60.42816384878871
side_angle_rgb_contrast_minus,319.02,201.01842835728328,0.1,235.96,178.81912415748397,12.630655369999998,340.98019681538545,0.08,-6.422123169999999,242.98747628264044,22.909743830000004,147.75168204760604,0.09,8.34735877,81.69265645568258,18.057150250000003,122.0587897605762,0.14,-6.71305931,41.66690318846142
side_angle_rgb_contrast_plus,306.40816326530614,200.30184386186676,0.09183673469387756,238.10204081632654,179.3991961445651,12.000619326530611,127.73261205494144,0.1326530612244898,-6.121311734693877,31.19830633036309,17.5327883877551,129.96131585294273,0.1836734693877551,2.7892448979591844,56.92212607339149,14.617148020408164,108.5340944085304,0.14285714285714285,-6.848030163265305,25.439744943042996
side_angle_rgb_saturation_minus,293.1020408163265,182.21852307374758,0.07142857142857142,215.59183673469389,162.710312098306,13.331371214285712,332.5394212719609,0.08163265306122448,-4.132560744897958,248.4561502374234,16.42549593877551,115.11402450520292,0.14285714285714285,2.167692448979592,50.96307985913901,15.793512510204081,137.30729604045678,0.16326530612244897,-5.895418244897958,65.86331007670063
side_angle_rgb_saturation_plus,302.16161616161617,186.84101613937142,0.13131313131313133,244.16161616161617,168.0369474077826,11.577090595959598,308.21213505274477,0.09090909090909091,-6.6730582525252515,210.1632645776759,20.479871838383836,150.3097022554321,0.12121212121212122,6.514528060606059,78.11077256309935,15.592866535353533,114.76460368161554,0.12121212121212122,-6.278537181818181,30.621680541194614
