condition,avg_error_calories,avg_error_mass,avg_error_fat,avg_error_carb,avg_error_protein
overhead_rgb,-82.84590207000001,107.42,-7.225417519999997,-1.7490468300000002,-8.062045810000003
overhead_rgb_brightness_minus,-70.36460207,138.38,-6.769328608759999,-0.4649616819999994,-6.812083715340001
overhead_rgb_brightness_plus,-75.92238207,139.75,-7.121866169999999,0.3136941700000006,-8.34806631
overhead_rgb_contrast_minus,-76.85400207000002,146.63,-6.598961619999999,-2.862096829999999,-6.80791281
overhead_rgb_contrast_plus,-85.00310207000003,111.96,-7.835108419999999,-0.3518468299999998,-8.26547481
overhead_rgb_saturation_minus,-81.60428207000001,130.54,-6.92539317,-2.6916698300000004,-8.16125031
overhead_rgb_saturation_plus,-89.67760206999999,107.98,-7.88160745876,-0.6143366820000002,-8.95387221534
side_angle_rgb,-15.622332070000006,230.4,-4.77653642,8.019351969999999,-6.59486631
side_angle_rgb_brightness_minus,13.784477530612229,256.8469387755102,-3.6289722436326537,8.79218741632653,-2.6508748013673467
side_angle_rgb_brightness_plus,-24.29918207,276.91,-5.633130169999999,7.171794369999999,-6.08247831
side_angle_rgb_contrast_minus,-28.84175207,235.96,-6.422123169999999,8.34735877,-6.71305931
side_angle_rgb_contrast_plus,-48.24085207,231.68,-6.00998117,2.516319770000001,-6.755054309999999
side_angle_rgb_saturation_minus,-28.853024494949494,212.54545454545453,-4.091686393939394,1.998119797979798,-5.853242303030302
side_angle_rgb_saturation_plus,-38.52020207000001,240.62,-6.67122767,6.179882769999999,-6.26085181
