condition,avg_rel_error_calories,avg_rel_error_mass,avg_rel_error_fat,avg_rel_error_carb,avg_rel_error_protein
overhead_rgb,-28.54515118070977,42.33467328761725,-50.1312174531601,-7.872032548846164,-40.198368427103205
overhead_rgb_brightness_minus,-24.24462953112043,54.53613935524552,-46.966792376815526,-2.092678956269144,-33.96590113713424
overhead_rgb_brightness_plus,-26.159602587905752,55.0760621108221,-49.41275997578262,1.4118608342941203,-41.62450240198621
overhead_rgb_contrast_minus,-26.48059895680887,57.787499014739495,-45.78475624717639,-12.881598718377036,-33.94510448160991
overhead_rgb_contrast_plus,-29.28842994994808,44.1239063608418,-54.36136014076398,-1.583576637549688,-41.21269085635731
overhead_rgb_saturation_minus,-28.117342083054623,51.446362418223366,-48.04959574902183,-12.114548420928912,-40.69301446789846
overhead_rgb_saturation_plus,-30.8990625323718,42.55537164026168,-54.683978649243,-2.764979344008849,-44.64512639149095
side_angle_rgb,-5.382786831829118,90.80160794514067,-33.14044970842861,36.0931443605164,-32.882827994854885
side_angle_rgb_brightness_minus,4.753304708429395,101.85739721592748,-25.08603544820016,39.99050939048686,-13.186197396979829
side_angle_rgb_brightness_plus,-8.372457881738917,109.13139434066368,-39.08364779094825,32.27849463257176,-30.32799736165776
side_angle_rgb_contrast_minus,-9.937633034148924,92.99282730353906,-44.55781998134939,37.5694228463491,-33.47215307083143
side_angle_rgb_contrast_plus,-16.621732409418204,91.3060613226137,-41.69830630391967,11.325340632957836,-33.681545391574915
side_angle_rgb_saturation_minus,-9.986426339396797,83.89283151263854,-28.577607771228543,9.009978667523352,-29.271314214826777
side_angle_rgb_saturation_plus,-13.27241256508464,94.82935288090172,-46.28615081115876,27.81414281142694,-31.217389935157897
