condition,mae_calories,mape_calories,prop_below_20_calories,avg_error_calories,avg_rel_error_calories
overhead_rgb,198.55181973,94.36359742867975,0.09,-82.84590207000001,-28.54515118070977
overhead_rgb_brightness_minus,183.91053755,91.0546344971747,0.14,-70.36460207,-24.24462953112043
overhead_rgb_brightness_plus,200.08744035,94.61483945198336,0.13,-75.92238207,-26.159602587905752
overhead_rgb_contrast_minus,206.36650791,96.95655620510114,0.12,-76.85400207000002,-26.48059895680887
overhead_rgb_contrast_plus,184.9904855700001,89.12581421865316,0.1,-85.00310207000003,-29.28842994994808
overhead_rgb_saturation_minus,184.94745939,86.49147855990732,0.12,-81.60428207000001,-28.117342083054623
overhead_rgb_saturation_plus,188.24837675,89.69928630203665,0.12,-89.67760206999999,-30.8990625323718
side_angle_rgb,226.37612955,113.31773492319856,0.1,-15.622332070000006,-5.382786831829118
side_angle_rgb_brightness_minus,240.87154040816324,116.43436848077909,0.0816326530612244,13.784477530612229,4.753304708429395
side_angle_rgb_brightness_plus,216.46926677,108.0140452377643,0.12,-24.29918207,-8.372457881738917
side_angle_rgb_contrast_minus,232.09208213,124.69688526807704,0.1,-28.84175207,-9.937633034148924
side_angle_rgb_contrast_plus,185.18989701,109.1773543716571,0.12,-48.24085207,-16.621732409418204
side_angle_rgb_saturation_minus,204.98005924242423,128.50960637071876,0.0808080808080808,-28.853024494949494,-9.986426339396797
side_angle_rgb_saturation_plus,200.80364133,108.78129075214382,0.1,-38.52020207000001,-13.27241256508464
