condition,mae_carb,mape_carb,prop_below_20_carb,avg_error_carb,avg_rel_error_carb
overhead_rgb,15.77941441,101.6927175222672,0.13,-1.7490468300000002,-7.872032548846164
overhead_rgb_brightness_minus,16.156566478,103.43516471003036,0.12,-0.4649616819999994,-2.092678956269144
overhead_rgb_brightness_plus,17.41270425,110.16718319988688,0.08,0.3136941700000006,1.4118608342941203
overhead_rgb_contrast_minus,16.25517863,105.36024912507366,0.09,-2.862096829999999,-12.881598718377036
overhead_rgb_contrast_plus,16.02726619,113.6102100419882,0.08,-0.3518468299999998,-1.583576637549688
overhead_rgb_saturation_minus,15.74544851,95.35835583290468,0.11,-2.6916698300000004,-12.114548420928912
overhead_rgb_saturation_plus,15.797486758,101.02699949244209,0.12,-0.6143366820000002,-2.764979344008849
side_angle_rgb,23.07418303,203.74707127687617,0.1,8.019351969999999,36.0931443605164
side_angle_rgb_brightness_minus,23.76515788571428,157.52579123871166,0.0918367346938775,8.79218741632653,39.99050939048686
side_angle_rgb_brightness_plus,21.916234809999995,138.03036458121957,0.12,7.171794369999999,32.27849463257176
side_angle_rgb_contrast_minus,22.909743830000004,147.75168204760604,0.09,8.34735877,37.5694228463491
side_angle_rgb_contrast_plus,17.39927285,129.36208953588388,0.18,2.516319770000001,11.325340632957836
side_angle_rgb_saturation_minus,16.407258606060605,114.96135759100896,0.1414141414141414,1.998119797979798,9.009978667523352
side_angle_rgb_saturation_plus,20.54457313,149.8066052328778,0.12,6.179882769999999,27.81414281142694
