condition,mae_fat,mape_fat,prop_below_20_fat,avg_error_fat,avg_rel_error_fat
overhead_rgb,12.0782405,244.39471743383984,0.09,-7.225417519999997,-50.1312174531601
overhead_rgb_brightness_minus,11.58337312876,184.48078386274756,0.06,-6.769328608759999,-46.966792376815526
overhead_rgb_brightness_plus,11.72744501,185.20641239531307,0.11,-7.121866169999999,-49.41275997578262
overhead_rgb_contrast_minus,11.74225974,244.7408464546637,0.11,-6.598961619999999,-45.78475624717639
overhead_rgb_contrast_plus,11.059152159999998,183.97218374339585,0.1,-7.835108419999999,-54.36136014076398
overhead_rgb_saturation_minus,11.00929433,190.7090656946286,0.06,-6.92539317,-48.04959574902183
overhead_rgb_saturation_plus,11.62937163876,179.32047228075123,0.07,-7.88160745876,-54.683978649243
side_angle_rgb,12.97678434,253.0355459278382,0.08,-4.77653642,-33.14044970842861
side_angle_rgb_brightness_minus,13.467446246163265,246.3319407340689,0.0408163265306122,-3.6289722436326537,-25.08603544820016
side_angle_rgb_brightness_plus,12.493011689999998,340.31791364555806,0.08,-5.633130169999999,-39.08364779094825
side_angle_rgb_contrast_minus,12.630655369999998,340.98019681538545,0.08,-6.422123169999999,-44.55781998134939
side_angle_rgb_contrast_plus,11.771702609999998,127.1779598138426,0.13,-6.00998117,-41.69830630391967
side_angle_rgb_saturation_minus,13.197579585858584,330.19053822880966,0.0808080808080808,-4.091686393939394,-28.577607771228543
side_angle_rgb_saturation_plus,11.52621969,306.1300137022173,0.09,-6.67122767,-46.28615081115876
