condition,mae_mass,mape_mass,prop_below_20_mass,avg_error_mass,avg_rel_error_mass
overhead_rgb,235.0,142.61692294248994,0.14,107.42,42.33467328761725
overhead_rgb_brightness_minus,255.86,183.44134436657916,0.1,138.38,54.53613935524552
overhead_rgb_brightness_plus,260.33,166.36547569600313,0.13,139.75,55.0760621108221
overhead_rgb_contrast_minus,252.69,162.15511428659977,0.13,146.63,57.787499014739495
overhead_rgb_contrast_plus,243.34,154.06755470692576,0.1,111.96,44.1239063608418
overhead_rgb_saturation_minus,240.24,141.99575071914347,0.14,130.54,51.446362418223366
overhead_rgb_saturation_plus,228.6,136.7893800789908,0.12,107.98,42.55537164026168
side_angle_rgb,292.68,173.85356802004534,0.08,230.4,90.80160794514067
side_angle_rgb_brightness_minus,322.765306122449,201.90687687258207,0.1122448979591836,256.8469387755102,101.85739721592748
side_angle_rgb_brightness_plus,316.35,191.48780980159864,0.12,276.91,109.13139434066368
side_angle_rgb_contrast_minus,319.02,201.01842835728328,0.1,235.96,92.99282730353906
side_angle_rgb_contrast_plus,301.94,198.2958069846294,0.09,231.68,91.3060613226137
side_angle_rgb_saturation_minus,291.010101010101,181.38803294168952,0.0707070707070707,212.54545454545453,83.89283151263854
side_angle_rgb_saturation_plus,300.24,185.9726059779777,0.13,240.62,94.82935288090172
