condition,mae_protein,mape_protein,prop_below_20_protein,avg_error_protein,avg_rel_error_protein
overhead_rgb,16.72032187,97.36851804547554,0.06,-8.062045810000003,-40.198368427103205
overhead_rgb_brightness_minus,15.298482515340002,117.7430658984938,0.12,-6.812083715340001,-33.96590113713424
overhead_rgb_brightness_plus,16.531928150000002,120.92497961888216,0.13,-8.34806631,-41.62450240198621
overhead_rgb_contrast_minus,15.97515223,116.5350206946246,0.12,-6.80791281,-33.94510448160991
overhead_rgb_contrast_plus,16.425761169999998,116.07942769759096,0.11,-8.26547481,-41.21269085635731
overhead_rgb_saturation_minus,15.54002281,91.1969670153881,0.08,-8.16125031,-40.69301446789846
overhead_rgb_saturation_plus,16.252975355340002,125.87211186492112,0.1,-8.95387221534,-44.64512639149095
side_angle_rgb,15.613631130000003,126.41303880756072,0.12,-6.59486631,-32.882827994854885
side_angle_rgb_brightness_minus,17.421248831285716,130.9983896586045,0.1224489795918367,-2.6508748013673467,-13.186197396979829
side_angle_rgb_brightness_plus,15.55817943,137.69531528450278,0.17,-6.08247831,-30.32799736165776
side_angle_rgb_contrast_minus,18.057150250000003,122.0587897605762,0.14,-6.71305931,-33.47215307083143
side_angle_rgb_contrast_plus,14.36878981,108.36341252035976,0.14,-6.755054309999999,-33.681545391574915
side_angle_rgb_saturation_minus,15.651355818181818,136.93045466631077,0.1616161616161616,-5.853242303030302,-29.271314214826777
side_angle_rgb_saturation_plus,15.48203787,114.61695764479938,0.12,-6.26085181,-31.217389935157897
